"BANKID"	"BANKNAME"	"BANKALIASNAME"	"BANKCTGYCODE"	"BANKCTGYNAME"	"JOINTYPE"	"AGENTBANKCODE"	"EFFECTIVEDATE"	"STATUS"	"REMARK"
"305100000013"	"中国民生银行"	"中国民生银行"	"305"	""	"CL00"	""	28-8月 -10	"1"	""
"308584000013"	"招商银行股份有限公司"	"招商银行"	"308"	""	"CL00"	""	28-8月 -10	"1"	""
"309391000011"	"兴业银行总行"	"兴业银行"	"309"	""	"CL00"	""	28-8月 -10	"1"	""
"310290000013"	"上海浦东发展银行"	"上海浦东发展银行"	"310"	""	"CL00"	""	05-12月-10	"1"	""
"313100000013"	"北京银行"	"北京银行"	"313"	""	"CL00"	""	28-8月 -10	"1"	""
"313110000017"	"天津银行股份有限公司"	"天津银行"	"313"	""	"CL00"	""	28-8月 -10	"1"	""
"313222080002"	"大连银行"	"大连银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313223007007"	"鞍山市商业银行"	"鞍山市商业银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313227000012"	"锦州银行"	"锦州银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313227600018"	"葫芦岛银行股份有限公司"	"葫芦岛银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313331000014"	"杭州银行股份有限公司"	"杭州银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313332082914"	"宁波银行股份有限公司"	"宁波银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313333007331"	"温州银行股份有限公司"	"温州银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313336071575"	"湖州银行股份有限公司"	"湖州银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313338707013"	"浙江稠州商业银行"	"浙江稠州商业银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313345010019"	"浙江泰隆商业银行"	"浙江泰隆商业银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313393080005"	"厦门银行股份有限公司"	"厦门银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313421087506"	"南昌银行"	"南昌银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313433076801"	"上饶银行"	"上饶银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313452060150"	"青岛银行"	"青岛银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313453001017"	"齐商银行"	"齐商银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313456000108"	"烟台银行股份有限公司"	"烟台银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313461000012"	"济宁银行股份有限公司"	"济宁银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313463000993"	"泰安市商业银行"	"泰安市商业银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313463400019"	"莱商银行"	"莱商银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313465000010"	"威海市商业银行"	"威海市商业银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313473070018"	"临商银行股份有限公司"	"临商银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313473200011"	"日照银行股份有限公司"	"日照银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313551088886"	"长沙银行股份有限公司"	"长沙银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"313581003284"	"广州银行"	"广州银行"	"313"	""	"CL00"	""	28-8月 -10	"1"	""
"313602088017"	"东莞银行股份有限公司"	"东莞银行"	"313"	""	"CL00"	""	28-8月 -10	"1"	""
"313611001018"	"广西北部湾银行"	"广西北部湾银行"	"313"	""	"CL00"	""	05-12月-10	"1"	""
"314305206650"	"昆山农村商业银行"	"昆山农村商业银行"	"314"	""	"CL00"	""	05-12月-10	"1"	""
